ID,Abstract
1,"The 14-3-3 proteins have emerged as major phosphoprotein interaction proteins and thereby constitute a key node in the Arabidopsis Interactome Map, a node through which a large number of important signals pass. Throughout their history of discovery and description, the 14-3-3s have been described as protein families and there has been some evidence that the different 14-3-3 family members within any organism might carry isoform-specific functions. However, there has also been evidence for redundancy of 14-3-3 function, suggesting that the perceived 14-3-3 diversity may be the accumulation of neutral mutations over evolutionary time and as some 14-3-3 genes develop tissue or organ-specific expression. This situation has led to a currently unresolved question -does 14-3-3 isoform sequence diversity indicate functional diversity at the biochemical or cellular level? We discuss here some of the key observations on both sides of the resulting debate, and present a set of contrastable observations to address the theory functional diversity does exist among 14-3-3 isoforms. The resulting model suggests strongly that there are indeed functional specificities in the 14-3-3s of Arabidopsis. The model further suggests that 14-3-3 diversity and specificity should enter into the discussion of 14-3-3 roles in signal transduction and be directly approached in 14-3-3 experimentation. It is hoped that future studies involving 14-3-3s will continue to address specificity in experimental design and analysis."
2,"Microgravity exposure in female mice is associated with bone loss specific to weight-bearing skeletal sites spaceflight skeletal unloading effect that may lead to premature long bone growth arrest in microgravity. PLOS ONEMicrogravity exposure in female mice is associated with bone loss specific to weight-bearing skeletal sites Thus, we hypothesize bone loss in the rodent model is a site-specific phenomenon associated with mechanical unloading of weight-bearing sites in the skeleton, rather than other systemic factors. Using standard methodology for the quantification of bone parameters with histology and microcomputed tomography (μCT) [25], within the regions of interest described in Fig 1C , we conducted global and same-animal paired comparisons of bone parameters in the femur and L2 vertebrae sites to rigorously test the idea that bone loss in LEO is specific to mechanically unloaded skeletal sites and not due to systemic effects."
3,"Finding sustainable approaches to achieve independence from terrestrial resources is of pivotal importance for the future of space exploration. This is relevant not only to establish viable space exploration beyond low Earth-orbit, but also for ethical considerations associated with the generation of space waste and the preservation of extra-terrestrial environments. Here we propose and highlight a series of microbial biotechnologies uniquely suited to establish sustainable processes for in situ resource utilization and loop-closure. Microbial biotechnologies research and development for space sustainability will be translatable to Earth applications, tackling terrestrial environmental issues, thereby supporting the United Nations Sustainable Development Goals.Humanity may be tempted to view the cosmos as a rich reservoir of infinite resources. However, the practical reality of space exploration tells a different story. The need for sustainability in space exploration, as well as the exploitation of space, is becoming more evident with the strengthening desire for the expansion of human activities beyond Earth-orbit, pursued by public and private sectors alike. When applied to space, the concept of sustainability has often been understood as ""ensuring that all humanity can continue to use outer space for peaceful purposes and socioeconomic benefit now and in the long term"" 1 . Until now, it mainly referred to the need to control, regulate, and remove space debris from low Earth orbit (LEO) 2,3 and planetary protection (which promotes the implementation and development of the responsible exploration of the solar system, in order to protect the space environments and Earth) 3 . As humans aspire to venture into deep space, the definition of this concept shifts and expands, and the self-sustainability of mission operations becomes a critical aspect. Loop-closure, which indicates the recycling and the reuse of resources toward the establishment of a circular economy, could greatly enhance the sustainability of space exploration, and it is key not only to minimise the costs of resupply of resources from Earth but also for ethical considerations associated with space waste generation and the preservation of extra-terrestrial environments [4][5][6][7][8][9][10] . The United Nations resolved that outer space activities should minimise impacts on the space environment, as well as on Earth, taking into account the 2030 agenda for Sustainable Development 11,12 ."
4,"The increasing accessibility of commercial and private space travel necessitates a profound understanding of its impact on human health. The NASA Open Science Data Repository (OSDR) provides transparent and FAIR access to biological studies, notably the SpaceX Inspiration4 (I4) mission, which amassed extensive data from civilian astronauts. This dataset encompasses omics and clinical assays, facilitating comprehensive research on space-induced biological responses. These data allow for multi-modal, longitudinal assessments, bridging the gap between human and model organism studies. Crucially, community-driven data standards established by NASA's OSDR Analysis Working Groups empower artificial intelligence and machine learning to glean invaluable insights, guiding future mission planning and health risk mitigation. This article presents a concise guide to access and analyze I4 data in OSDR, including programmatic access through GLOpenAPI. This pioneering effort establishes a precedent for post-mission health monitoring programs within space agencies, propelling research in the burgeoning field of commercial space travel's impact on human physiology."
5,"Spending time in a microgravity environment is known to cause significant skeletal muscle atrophy and weakness via muscle unloading, which can be partly attributed to Ca 2+ dysregulation. The sarco(endo)plasmic reticulum Ca 2+ ATPase (SERCA) pump is responsible for bringing Ca 2+ from the cytosol into its storage site, the sarcoplasmic reticulum (SR), at the expense of ATP. We have recently demonstrated that, in the soleus of space-flown mice, the Ca 2+ uptake ability of the SERCA pump is severely impaired and this may be attributed to increases in reactive oxygen/nitrogen species (RONS), to which SERCA is highly susceptible. The purpose of this study was therefore to investigate whether treatment with the antioxidant, Manganese(III) meso-tetrakis(N-n-butoxyethylpyridinium-2-yl) porphyrin, MnTnBuOE-2-PyP 5+ (BuOE), could attenuate muscle atrophy and SERCA dysfunction. We received soleus muscles from the rodent research 18 mission which had male mice housed on the international space station for 35 days and treated with either saline or BuOE. Spaceflight significantly reduced the soleus:body mass ratio and significantly increased SERCA's ionophore ratio, a measure of SR Ca 2+ leak, and 4-HNE content (marker of RONS), none of which could be rescued by BuOE treatment. In conclusion, we find that spaceflight induces significant soleus muscle atrophy and SR Ca 2+ leak that cannot be counteracted with BuOE treatment. Future work should investigate alternative therapeutics that are specifically aimed at increasing SERCA activation or reducing Ca 2+ leak."
6,"With the advent of long-term human habitation in space and on the moon, understanding how the built environment microbiome of space habitats differs from Earth habitats, and how microbes survive, proliferate and spread in space conditions, is becoming more important. The microbial tracking mission series has been monitoring the microbiome of the International Space Station (ISS) for almost a decade. During this mission series, six unique strains of Gram-stain-positive bacteria, including two spore-forming and three non-spore-forming species, were isolated from the environmental surfaces of the ISS. The analysis of their 16S rRNA gene sequences revealed > 99% similarities with previously described bacterial species. To further explore their phylogenetic affiliation, whole genome sequencing was undertaken. For all strains, the gyrB gene exhibited < 93% similarity with closely related species, which proved effective in categorizing these ISS strains as novel species. Average nucleotide identity and digital DNA-DNA hybridization values, when compared to any known bacterial species, were < 94% and <50% respectively for all species described here. Traditional biochemical tests, fatty acid profiling, polar lipid, and cell wall composition analyses were performed to generate phenotypic characterization of these ISS strains. A study of the shotgun metagenomic reads from the ISS samples, from which the novel species were isolated, showed that only 0.1% of the total reads mapped to the novel species, supporting the idea that these novel species are rare in the ISS environments. In-depth annotation of the genomes unveiled a variety of genes linked to amino acid and derivative synthesis, carbohydrate metabolism, cofactors, vitamins, prosthetic groups, pigments, and protein metabolism. Further analysis of these ISS-isolated organisms revealed that, on average, they contain 46 genes associated with virulence, disease, and defense. The main predicted functions of these genes are: conferring resistance to antibiotics and toxic compounds, and enabling invasion and intracellular resistance. After conducting antiSMASH analysis, it was found that there are roughly 16 cluster types across the six strains, including β-lactone and type OPEN"
7,"Background Spaceflight poses a unique set of challenges to humans and the hostile spaceflight environment can induce a wide range of increased health risks, including dermatological issues. The biology driving the frequency of skin issues in astronauts is currently not well understood. Methods To address this issue, we used a systems biology approach utilizing NASA's Open Science Data Repository (OSDR) on space flown murine transcriptomic datasets focused on the skin, biochemical profiles of 50 NASA astronauts and human transcriptomic datasets generated from blood and hair samples of JAXA astronauts, as well as blood samples obtained from the NASA Twins Study, and skin and blood samples from the first civilian commercial mission, Inspiration4.Results Key biological changes related to skin health, DNA damage & repair, and mitochondrial dysregulation are identified as potential drivers for skin health risks during spaceflight. Additionally, a machine learning model is utilized to determine gene pairings associated with spaceflight response in the skin. While we identified spaceflight-induced dysregulation, such as alterations in genes associated with skin barrier function and collagen formation, our results also highlight the remarkable ability for organisms to re-adapt back to Earth via post-flight re-tuning of gene expression. Conclusion Our findings can guide future research on developing countermeasures for mitigating spaceflight-associated skin damage."
8,"Annexins are a multigene family of calcium-dependent membrane-binding proteins that play important roles in plant cell signaling. Annexins are multifunctional proteins, and their function in plants is not comprehensively understood. Arabidopsis (Arabidopsis thaliana) annexins ANN1 and ANN2 are 64% identical in their primary structure, and both are highly expressed in seedlings. Here, we showed that ann-mutant seedlings grown in the absence of sugar show decreased primary root growth and altered columella cells in root caps; however, these mutant defects are rescued by Suc, Glc, or Fru. In seedlings grown without sugar, significant up-regulation of photosynthetic gene expression and chlorophyll accumulation was found in ann-mutant cotyledons compared to that in wild type, which indicates potential sugar starvation in the roots of ann-mutant seedlings. Unexpectedly, the overall sugar content of ann-mutant primary roots was significantly higher than that of wild-type roots when grown without sugar. To examine the diffusion of sugar along the entire root to the root tip, we examined the unloading pattern of carboxyfluorescein dye and found that post-phloem sugar transport was impaired in ann-mutant root tips compared to that in wild type. Increased levels of ROS and callose were detected in the root tips of ann-mutant seedlings grown without Suc, the latter of which would restrict plasmodesmal sugar transport to root tips. Our results indicate that ANN1 and ANN2 play an important role in post-phloem sugar transport to the root tip, which in turn indirectly influences photosynthetic rates in cotyledons. This study expands our understanding of the function of annexins in plants."
9,"Scientific access to spaceflight and especially the International Space Station has revealed that physiological adaptation to spaceflight is accompanied or enabled by changes in gene expression that significantly alter the transcriptome of cells in spaceflight. A wide range of experiments have shown that plant physiological adaptation to spaceflight involves gene expression changes that alter cell wall and other metabolisms. However, while transcriptome profiling aptly illuminates changes in gene expression that accompany spaceflight adaptation, mutation analysis is required to illuminate key elements required for that adaptation.Here we report how transcriptome profiling was used to gain insight into the spaceflight adaptation role of Altered response to gravity 1 (Arg1), a gene known to affect gravity responses in plants on Earth. The study compared expression profiles of cultured lines of Arabidopsis thaliana derived from wild-type (WT) cultivar Col-0 to profiles from a knock-out line deficient in the gene encoding ARG1 (ARG1 KO), both on the ground and in space. The cell lines were launched on SpaceX CRS-2 as part of the Cellular Expression Logic (CEL) experiment of the BRIC-17 spaceflight mission. The cultured cell lines were grown within 60 mm Petri plates in Petri Dish Fixation Units (PDFUs) that were housed within the Biological Research In Canisters (BRIC) hardware. Spaceflight samples were fixed on orbit. Differentially expressed genes were identified between the two environments (spaceflight and comparable ground controls) and the two genotypes (WT and ARG1 KO). Each genotype engaged unique genes during physiological adaptation to the spaceflight environment, with little overlap. Most of the genes altered in expression in spaceflight in WT cells were found to be Arg1-dependent, suggesting a major role for that gene in the physiological adaptation of undifferentiated cells to spaceflight."
10,"The model organism Caenorhabditis elegans is used in a variety of applications ranging from fundamental biological studies, to drug screening, to disease modeling, and to space-biology investigations. These applications rely on conducting whole-organism phenotypic assays involving animal behavior and locomotion. In this study, we report a 3D printed compact imaging platform (CIP) that is integrated with a smart-device camera for the whole-organism phenotyping of C. elegans. The CIP has no external optical elements and does not require mechanical focusing, simplifying the optical configuration. The small footprint of the system powered with a standard USB provides capabilities ranging from plug-and-play, to parallel operation, and to housing it in incubators for temperature control. We demonstrate on Earth the compatibility of the CIP with different C. elegans substrates, including agar plates, liquid droplets on glass slides and microfluidic chips. We validate the system with behavioral and thrashing assays and show that the phenotypic readouts are in good agreement with the literature data. We conduct a pilot study with mutants and show that the phenotypic data collected from the CIP distinguishes these mutants. Finally, we discuss how the simplicity and versatility offered by CIP makes it amenable to future C. elegans investigations on the International Space Station, where science experiments are constrained by system size, payload weight and crew time. Overall, the compactness, portability and ease-of-use makes the CIP desirable for research and educational outreach applications on Earth and in space."
